Designator,Mid X,Mid Y,Rotation,Layer
"B+,B",152.75,-46.5,0.0,top
"B+,CH",187.75,-62.5,270.0,top
"B-,B",157.5,-46.5,0.0,top
"B-,CH",187.75,-54.25,270.0,top
CLK,178.0,-52.75,0.0,top
D1,127.48,-86.5,90.0,bottom
D10,146.53,-124.5,90.0,bottom
D11,165.58,-124.5,90.0,bottom
D12,184.63,-124.5,90.0,bottom
D13,127.48,-143.5,90.0,bottom
D14,146.5,-143.5,90.0,bottom
D15,165.58,-143.5,90.0,bottom
D16,184.63,-143.35,90.0,bottom
D2,146.5,-86.5,90.0,bottom
D3,165.58,-86.5,90.0,bottom
D4,184.63,-86.5,90.0,bottom
D5,127.48,-105.5,90.0,bottom
D6,146.5,-105.5,90.0,bottom
D7,165.58,-105.5,90.0,bottom
D8,184.63,-105.5,90.0,bottom
D9,127.5,-124.5,90.0,bottom
DT,178.0,-55.5,0.0,top
GND,178.0,-63.75,0.0,top
OUT+,187.75,-65.75,270.0,top
OUT-,187.75,-51.25,270.0,top
SW,178.0,-58.25,0.0,top
SW1,122.4,-80.285,0.0,top
SW10,141.45,-118.385,0.0,top
SW11,160.5,-118.385,0.0,top
SW12,179.55,-118.385,0.0,top
SW13,122.4,-137.435,0.0,top
SW14,141.45,-137.435,0.0,top
SW15,160.5,-137.435,0.0,top
SW16,179.55,-137.435,0.0,top
SW17,123.5,-46.75,270.0,top
SW2,141.45,-80.285,0.0,top
SW3,160.5,-80.285,0.0,top
SW4,179.55,-80.285,0.0,top
SW5,122.4,-99.335,0.0,top
SW6,141.45,-99.335,0.0,top
SW7,160.5,-99.335,0.0,top
SW8,179.55,-99.335,0.0,top
SW9,122.4,-118.385,0.0,top
VCC,178.0,-61.0,0.0,top
